orf_id	gene_names	uniprot_acc	broad_gene_name	uniprot_gene_name	fungidb_gene_name	blast2go_annotation	is_tf	is_kinases	is_virulence_gene	order_peaktime	scer_orthologs	scer_ortholog_descriptions
CNAG_00016	LSM5	J9VHR1	U6 snRNA-associated Sm-like protein LSm5	U6 snRNA-associated Sm-like protein LSm5	U6 snRNA-associated Sm-like protein LSm5	LSM5_DICDI|Probable U6 snRNA-associated Sm-like protein LSm5 OS=Dictyostelium discoideum OX=44689 GN=lsm5 PE=3 SV=1				113	LSM5	U6 snRNA-associated Sm-like protein LSm5
CNAG_00017			hypothetical protein	Uncharacterized protein	hypothetical protein	FOXJ3_HUMAN|Forkhead box protein J3 OS=Homo sapiens OX=9606 GN=FOXJ3 PE=1 SV=2						
CNAG_00018			hypothetical protein	Uncharacterized protein	hypothetical protein		TRUE					
CNAG_00019			mitochondrial import inner membrane translocase subunit TIM9	Mitochondrial import inner membrane translocase subunit TIM9	mitochondrial import inner membrane translocase subunit tim9	TIM9_CRYNB|Mitochondrial import inner membrane translocase subunit TIM9 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=TIM9 PE=3 SV=1				83	TIM9	Mitochondrial import inner membrane translocase subunit TIM9
CNAG_00020			hypothetical protein	Uncharacterized protein	hypothetical protein	HID1_HUMAN|Protein HID1 OS=Homo sapiens OX=9606 GN=HID1 PE=1 SV=1						
CNAG_00021			S-adenosylmethionine decarboxylase proenzyme	S-adenosylmethionine decarboxylase proenzyme	S-adenosylmethionine decarboxylase proenzyme	DCAM_SCHPO|S-adenosylmethionine decarboxylase proenzyme OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=spe2 PE=2 SV=1					SPE2	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase alpha chain; S-adenosylmethionine decarboxylase beta chain]
CNAG_00022			cytochrome c heme-lyase	Cytochrome c heme lyase (EC 4.4.1.17)	cytochrome c heme-lyase	YE42_SCHPO|Putative cytochrome c1 heme lyase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC24C9.02c PE=3 SV=1					CYC3; CYT2	Cytochrome c heme lyase (CCHL) (EC 4.4.1.17) (Holocytochrome-c synthase); Cytochrome c1 heme lyase (CC1HL) (EC 4.4.1.-)
CNAG_00023			hypothetical protein	Uncharacterized protein	hypothetical protein	YHE8_SCHPOUP|F0643 protein PB2B2.08 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBPB2B2.08 PE=3 SV=1						
CNAG_00024			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2							
CNAG_00025	VCX1		calcium/proton exchanger	Calcium/proton exchanger	vacuolar calcium exchanger	VCX1_YEAST|Vacuolar calcium ion transporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VCX1 PE=1 SV=1						
CNAG_00026			kynurenine aminotransferase	Kynurenine aminotransferase	kynurenine aminotransferase, kynurenine aminotransferase, variant	YDT4_SCHPO|Uncharacterized aminotransferase C6B12.04c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC6B12.04c PE=3 SV=1					BNA3	Probable kynurenine--oxoglutarate transaminase BNA3 (EC 2.6.1.7) (Biosynthesis of nicotinic acid protein 3) (Kynurenine aminotransferase)
CNAG_00027			transcriptional activator	Transcriptional activator	transcriptional activator							
CNAG_00029			D-3-phosphoglycerate dehydrogenase	D-3-phosphoglycerate dehydrogenase	D-3-phosphoglycerate dehydrogenase	SERA_METJA|D-3-phosphoglycerate dehydrogenase OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=serA PE=3 SV=1					SER3; SER33	D-3-phosphoglycerate dehydrogenase 1 (3-PGDH 1) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399); D-3-phosphoglycerate dehydrogenase 2 (3-PGDH 2) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399)
CNAG_00030			D-3-phosphoglycerate dehydrogenase	D-3-phosphoglycerate dehydrogenase	D-3-phosphoglycerate dehydrogenase, D-3-phosphoglycerate dehydrogenase, variant							
CNAG_00031	MLR1		hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	PPR1_YEAST|Pyrimidine pathway regulatory protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PPR1 PE=1 SV=1	TRUE			359		
CNAG_00032			2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	RHMA_SAL|G22-keto-3-deoxy-L-rhamnonate aldolase OS=Salmonella gallinarum (strain 287/91 / NCTC 13346) OX=550538 GN=rhmA PE=3 SV=1						
CNAG_00033			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_00034	RPL9B		large subunit ribosomal protein L9e	Large subunit ribosomal protein L9e	large subunit ribosomal protein L9e	RL9_ORYSJ60|S ribosomal protein L9 OS=Oryza sativa subsp. japonica OX=39947 GN=RPL9 PE=2 SV=3					RPL9A; RPL9B	60S ribosomal protein L9-A (L8) (Large ribosomal subunit protein uL6-A) (RP24) (YL11); 60S ribosomal protein L9-B (L8) (Large ribosomal subunit protein uL6-B) (RP24) (YL11)
CNAG_00035			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_00036	SEC14-2		Sec14 cytosolic factor	Sec14 cytosolic factor	SEC14 cytosolic factor	SEC14_SCHPO|Sec14 cytosolic factor OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sec14 PE=4 SV=1					SEC14	SEC14 cytosolic factor (Phosphatidylinositol/phosphatidylcholine transfer protein) (PI/PC TP)
CNAG_00038			alcohol dehydrogenase	Alcohol dehydrogenase	Alcohol dehydrogenase	YGD6_SCHPO|Zinc-type alcohol dehydrogenase-like protein C1773.06c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC1773.06c PE=3 SV=1						
CNAG_00039			hypothetical protein	Uncharacterized protein	hypothetical protein	YL8J_SCHPO|Zinc finger protein C25B8.19c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC25B8.19c PE=4 SV=2	TRUE					
CNAG_00040	ERG11		cytochrome P450, family 51 (sterol 14-demethylase)	Cytochrome P450, family 51 (Sterol 14-demethylase)	cytochrome P450, family 51 (sterol 14- demethylase)	CP51_USTMA|Lanosterol 14-alpha demethylase OS=Ustilago maydis (strain 521 / FGSC 9021) OX=237631 GN=ERG11 PE=3 SV=1					ERG11	Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (Sterol 14-alpha demethylase)
CNAG_00043			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant							
CNAG_00044			ribosome assembly protein 1	Ribosome assembly protein 1	ribosome assembly protein 1	RIA1_SCHPO|Ribosome assembly protein 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ria1 PE=3 SV=1					RIA1	Ribosome assembly protein 1 (EC 3.6.5.-) (EF-2-like GTPase) (Elongation factor-like 1)
CNAG_00045			hypothetical protein	Uncharacterized protein	hypothetical protein						FUB1	Silencing boundary-establishment protein FUB1 (Function of boundary protein 1) (Proteasome inhibitor PI31-like protein FUB1)
CNAG_00046			26S proteasome regulatory subunit N8	26S proteasome regulatory subunit N8	26S proteasome regulatory subunit N8	RPN8_NEUCR26|S proteasome regulatory subunit rpn-8 OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=rpn-8 PE=3 SV=1					RPN8	26S proteasome regulatory subunit RPN8
CNAG_00047	PKP1		pyruvate dehydrogenase kinase	Pyruvate dehydrogenase kinase	pyruvate dehydrogenase kinase	PDK_SCHP|O		TRUE			PKP1	[Pyruvate dehydrogenase (acetyl-transferring)] kinase 1, mitochondrial (PDK 1) (Pyruvate dehydrogenase kinase 1) (EC 2.7.11.2) (Protein kinase of PDH protein 1) (Pyruvate dehydrogenase complex kinase 1) (PDC kinase 1) ([Pyruvate dehydrogenase [lipoamide]] kinase 1)
CNAG_00048			sugar transporter	Sugar transporter	Sugar transporter	LACP_KLULA|Lactose permease OS=Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) OX=284590 GN=LAC12 PE=3 SV=1						
CNAG_00049			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_00050			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_00051	SNT1		hypothetical protein	Uncharacterized protein	putative set3c deacetylase complex subunit	NCOR1_HUMAN|Nuclear receptor corepressor 1 OS=Homo sapiens OX=9606 GN=NCOR1 PE=1 SV=2					SNT1	Probable DNA-binding protein SNT1 (SANT domain-containing protein 1)
CNAG_00052			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_00053			hypothetical protein	Uncharacterized protein	hypothetical protein					434		
CNAG_00054			hypothetical protein	Uncharacterized protein	hypothetical protein	OBP2A_ARATH|Oil body-associated protein 2A OS=Arabidopsis thaliana OX=3702 GN=OBAP2A PE=2 SV=1						
CNAG_00055			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_00056			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_00057			fructose-1,6-bisphosphatase I	Fructose-1,6-bisphosphatase I	fructose-1,6-bisphosphatase I	F16P2_SPIOL|Fructose-1,6-bisphosphatase, cytosolic OS=Spinacia oleracea OX=3562 PE=1 SV=2					FBP1	Fructose-1,6-bisphosphatase (FBPase) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase)
CNAG_00058			T-complex protein 1 subunit epsilon	T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon)	T-complex protein 1 subunit epsilon	TCPE_SCHPO|T-complex protein 1 subunit epsilon OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=cct5 PE=3 SV=1					CCT5	T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon)
CNAG_00059			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_00060			chaperone regulator	Chaperone regulator	chaperone regulator, chaperone regulator, variant	DNJA1_DICDI|DnaJ homolog subfamily A member 1 homolog OS=Dictyostelium discoideum OX=44689 GN=dnaja1 PE=3 SV=1					XDJ1	DnaJ protein homolog XDJ1
CNAG_00061	CIT1		citrate synthase, mitochondrial	Citrate synthase	citrate synthase, mitochondrial	CISY_ASPNG|Citrate synthase, mitochondrial OS=Aspergillus niger OX=5061 GN=cit-1 PE=2 SV=1					CIT1; CIT2; CIT3	Citrate synthase, mitochondrial (EC 2.3.3.1); Citrate synthase, peroxisomal (EC 2.3.3.16); Citrate synthase 3, mitochondrial (EC 2.3.3.1)
CNAG_00062			26S proteasome regulatory subunit N3	26S proteasome regulatory subunit N3	26S proteasome regulatory subunit N3	PSMD3_HUMAN26|S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2					RPN3	26S proteasome regulatory subunit RPN3
CNAG_00063			histone H3	Histone H3	Histone H3	H32_BOVIN|Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2				149	CSE4	Histone H3-like centromeric protein CSE4 (CENP-A homolog) (Chromosome segregation protein 4)
CNAG_00064			COPII-coated vesicle protein	COPII-coated vesicle protein	COPII-coated vesicle protein	EMP24_SCHPO|Endosomal protein P24B OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=emp24 PE=3 SV=1					EMP24; ERP3	Endosomal protein P24B (24 kDa endomembrane protein) (Basic 24 kDa late endocytic intermediate component); Protein ERP3
CNAG_00065			ran-binding protein 1	Ran-binding protein 1	ran-binding protein 1	RANG_SCHPO|Ran-specific GTPase-activating protein 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sbp1 PE=1 SV=1					YRB1	Ran-specific GTPase-activating protein 1 (Chromosome stability protein 20) (Perinuclear array-localized protein) (Ran-binding protein 1) (RANBP1)
CNAG_00066			membrane protein	Membrane protein	membrane protein					1089		
CNAG_00067	SSS1		protein translocase SEC61 complex gamma subunit	Protein translocase SEC61 complex gamma subunit	protein translocase SEC61 complex gamma subunit	SC61G_NEUCR|Probable protein transport protein Sec61 subunit gamma OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=9G6.310 PE=3 SV=2					SSS1	Protein transport protein SSS1 (Sec61 complex subunit SSS1) (Sec61 complex subunit gamma) (Ssh1 complex subunit SSS1) (Ssh1 complex subunit gamma)
CNAG_00068			specific RNA polymerase II transcription factor	Specific RNA polymerase II transcription factor	specific RNA polymerase II transcription factor		TRUE				MET32	Transcriptional regulator MET32 (Methionine-requiring protein 32)
CNAG_00069			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_00070			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_00072			protein disulfide-isomerase	Protein disulfide-isomerase	protein disulfide-isomerase	PDI22_ORYSJ|Protein disulfide isomerase-like 2-2 OS=Oryza sativa subsp. japonica OX=39947 GN=PDIL2-2 PE=2 SV=1						
CNAG_00073			nuclear mRNA splicing protein	Nuclear mRNA splicing protein	nuclear mRNA splicing protein	STRN3_BOVIN|Striatin-3 OS=Bos taurus OX=9913 GN=STRN3 PE=2 SV=1						
CNAG_00074			protein PNS1	Protein PNS1	protein PNS1	PNS1_CRYNB|Protein PNS1 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=PNS1 PE=3 SV=1					PNS1	Protein PNS1 (pH nine-sensitive protein 1)
CNAG_00075			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_00076			A/G-specific adenine glycosylase	Adenine DNA glycosylase (EC 3.2.2.31)	A/G-specific adenine glycosylase	MUTYH_RAT|Adenine DNA glycosylase OS=Rattus norvegicus OX=10116 GN=Mutyh PE=2 SV=1				7		
CNAG_00077			solute carrier family 26 (sodium-independent sulfate anion transporter), member 11	Solute carrier family 26 (Sodium-independent sulfate anion transporter), member 11	solute carrier family 26 (sodium-independent sulfate anion transporter), member 11	SULH2_SCHPO|Probable sulfate permease C869.05c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC869.05c PE=1 SV=1					; SUL1; SUL2	Putative sulfate transporter YPR003C; Sulfate permease 1 (High-affinity sulfate transporter 1); Sulfate permease 2 (High-affinity sulfate transporter 2)
CNAG_00078			vacuolar protein	Vacuolar protein	vacuolar protein	YG35_YEAST|Uncharacterized vacuolar membrane protein YGR125W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YGR125W PE=1 SV=1				506		Uncharacterized vacuolar membrane protein YGR125W
CNAG_00079			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_00080			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_00081			pre-mRNA-processing factor 6	Pre-mRNA-processing factor 6	pre-mRNA-processing factor 6	PRP1_SCHPO|Pre-mRNA-splicing factor prp1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=prp1 PE=1 SV=1				102	PRP6	Pre-mRNA-splicing factor 6
CNAG_00082	CFD1	J9VHX5	cytosolic Fe-S cluster assembly factor CFD1	Cytosolic Fe-S cluster assembly factor CFD1 (Cytosolic Fe-S cluster-deficient protein 1)	cytosolic Fe-S cluster assembly factor CFD1	CFD1_CRYNB|Cytosolic Fe-S cluster assembly factor CFD1 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=CFD1 PE=3 SV=1					CFD1; NBP35	Cytosolic Fe-S cluster assembly factor CFD1 (Cytosolic Fe-S cluster-deficient protein 1) (Ribosomal export protein 19); Cytosolic Fe-S cluster assembly factor NBP35 (Nucleotide-binding protein 35)
CNAG_00083	CCC1		hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_00084			glutamine-tRNA ligase	Glutamine-tRNA ligase	glutamine-tRNA ligase	SYQ_SCHPO|Probable glutamine--tRNA ligase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=qrs1 PE=3 SV=1					GLN4	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)
CNAG_00085			histone chaperone ASF1	Histone chaperone ASF1	histone chaperone ASF1	ASF1_CRYNB|Histone chaperone ASF1 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=ASF1 PE=3 SV=1				42	ASF1	Histone chaperone ASF1 (Anti-silencing function protein 1) (yASF1)
CNAG_00086			N2,N2-dimethylguanosine tRNA methyltransferase	N2,N2-dimethylguanosine tRNA methyltransferase	N2,N2-dimethylguanosine tRNA methyltransferase	TRM1_SCHP|OtRNA (guanine(26)-N(2))-dimethyltransferase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=trm1 PE=1 SV=1					TRM1	tRNA (guanine(26)-N(2))-dimethyltransferase, mitochondrial (EC 2.1.1.216) (tRNA 2,2-dimethylguanosine-26 methyltransferase) (tRNA(guanine-26,N(2)-N(2)) methyltransferase) (tRNA(m(2,2)G26)dimethyltransferase)
CNAG_00087			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_00088			prohibitin PHB1	Prohibitin PHB1	prohibitin PHB1	PHB1_SCHPO|Prohibitin-1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=phb1 PE=3 SV=1					PHB1	Prohibitin-1
CNAG_00089			exosome complex component RRP4	Exosome complex component RRP4	exosome complex component RRP4	RRP4_SCHPO|Exosome complex component rrp4 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rrp4 PE=3 SV=1					RRP4	Exosome complex component RRP4 (Ribosomal RNA-processing protein 4)
CNAG_00090			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant					563		
CNAG_00091			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_00092			mitochondrial protein	Mitochondrial pyruvate carrier	mitochondrial protein	MPC2_RAT|Mitochondrial pyruvate carrier 2 OS=Rattus norvegicus OX=10116 GN=Mpc2 PE=2 SV=1					MPC2; MPC3	Mitochondrial pyruvate carrier 2 (MPC2); Mitochondrial pyruvate carrier 3 (MPC3) (Protein FMP43)
CNAG_00093			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_00094			NAD-dependent epimerase/dehydratase	NAD-dependent epimerase/dehydratase	NAD-dependent epimerase/dehydratase	DEND_HAEIN|D-erythronate dehydrogenase OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=denD PE=1 SV=1						
CNAG_00095			hypothetical protein	Uncharacterized protein	hypothetical protein						RTP1	RNA polymerase II assembly factor RTP1 (Required for nuclear transport of RNA pol II protein 1) (Transport and Golgi organization protein 6 homolog)
CNAG_00096			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_00097	ITR1		MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13	MFS transporter, SP family, solute carrier family 2 (Myo-inositol transporter), member 13	myo-inositol transporter, putative	ITR1_SCHPO|Myo-inositol transporter 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=itr1 PE=3 SV=1					ITR1; ITR2	Myo-inositol transporter 1; Myo-inositol transporter 2
CNAG_00098			palmitoyl-protein thioesterase	Palmitoyl-protein thioesterase	palmitoyl-protein thioesterase	PPT1_MACFA|Palmitoyl-protein thioesterase 1 OS=Macaca fascicularis OX=9541 GN=PPT1 PE=2 SV=1						
CNAG_00099			minichromosome maintenance protein 3	DNA helicase (EC 3.6.4.12)	minichromosome maintenance protein 3	MCM3_SCHPODN|A replication licensing factor mcm3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=mcm3 PE=1 SV=2					MCM3	DNA replication licensing factor MCM3 (EC 3.6.4.12) (Minichromosome maintenance protein 3)
CNAG_00100			stress-induced-phosphoprotein 1	Stress-induced-phosphoprotein 1	stress-induced-phosphoprotein 1	STI1_SCHPO|Heat shock protein sti1 homolog OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sti1 PE=3 SV=1					STI1	Heat shock protein STI1
CNAG_00101			hypothetical protein	Uncharacterized protein	hypothetical protein	KEI1_SCHPO|Inositol phoshorylceramide synthase regulatory subunit kei1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=kei1 PE=3 SV=1				555	KEI1	Inositol phosphorylceramide synthase regulatory subunit KEI1 (ICP synthase regulatory subunit KEI1) (KEX2-cleavable protein essential for inositol phosphorylceramide synthesis) [Cleaved into: KEI1N; KEI1C]
CNAG_00104			elongation factor 3	Elongation factor 3	elongation factor 3	ELF1_SCHP|OmRNA export factor elf1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=elf1 PE=1 SV=1					HEF3; NEW1; YEF3	Elongation factor 3B (EF-3B) (Homolog of EF-3) (Translation elongation factor 3B); [NU+] prion formation protein 1; Elongation factor 3A (EF-3) (EF-3A) (Eukaryotic elongation factor 3) (eEF3) (Translation elongation factor 3A) (Yeast elongation factor 3)
CNAG_00105			pyridoxal reductase	Pyridoxal reductase	pyridoxal reductase	YAKC_SCHPO|Aldo-keto reductase yakc					; AAD10	Putative pyridoxal reductase (PL reductase) (PL-red) (EC 1.1.1.65); Putative aryl-alcohol dehydrogenase AAD10 (EC 1.1.1.-)
CNAG_00106	TCO5		two-component system sensor molecule	Two-component system sensor protein	Two-component-like sensor kinase	OHK5_ORYSJ|Probable histidine kinase 5 OS=Oryza sativa subsp. japonica OX=39947 GN=HK5 PE=2 SV=1		TRUE				
CNAG_00107			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_00108			RuvB-like helicase 1	RuvB-like helicase (EC 3.6.4.12)	RuvB-like helicase 1	RUVB1_CRYNB|RuvB-like helicase 1 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=RVB1 PE=3 SV=1				235	RVB1	RuvB-like protein 1 (RUVBL1) (EC 3.6.4.12) (TIP49-homology protein 1) (TIP49a homolog)
CNAG_00110	HPI3		hypothetical protein	Uncharacterized protein	hypothetical protein					539		
CNAG_00111			splicing factor 3A subunit 1	Splicing factor 3A subunit 1	splicing factor 3A subunit 1	SF3A1_HUMAN|Splicing factor 3A subunit 1 OS=Homo sapiens OX=9606 GN=SF3A1 PE=1 SV=1					PRP21	Pre-mRNA-splicing factor PRP21
CNAG_00115			chlorophyll synthesis pathway protein BchC	Chlorophyll synthesis pathway protein BchC	chlorophyll synthesis pathway protein BchC	XYL2_ASPNC|Probable D-xylulose reductase A OS=Aspergillus niger (strain CBS 513.88 / FGSC A1513) OX=425011 GN=xdhA PE=3 SV=1					BDH1; BDH2; SOR1; SOR2; XYL2	(R,R)-butanediol dehydrogenase (EC 1.1.1.4); Probable diacetyl reductase [(R)-acetoin forming] 2 (EC 1.1.1.303); Sorbitol dehydrogenase 1 (EC 1.1.1.14) (L-iditol 2-dehydrogenase 1); Sorbitol dehydrogenase 2 (EC 1.1.1.14) (L-iditol 2-dehydrogenase 2); D-xylulose reductase (EC 1.1.1.9) (Xylitol dehydrogenase) (XDH)
CNAG_00116			small subunit ribosomal protein S3	Small subunit ribosomal protein S3	small subunit ribosomal protein S3	RS3_SCHPO40|S ribosomal protein S3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rps3 PE=1 SV=1					RPS3	40S ribosomal protein S3 (RP13) (Small ribosomal subunit protein uS3) (YS3)
CNAG_00117	ERG24		delta14-sterol reductase	Delta14-sterol reductase	c-14 sterol reductase	ERG24_SCHPO|Delta(14)-sterol reductase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=erg24 PE=2 SV=1					ERG24	Delta(14)-sterol reductase (EC 1.3.1.70) (C-14 sterol reductase) (Sterol C14-reductase)
CNAG_00118			hypothetical protein	Uncharacterized protein	hypothetical protein					461		
CNAG_00119			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_00120			hypothetical protein	Uncharacterized protein	hypothetical protein							
