genes	logFC.AL	FDR.AL	groups	coarse_groups	rank_from_biggest_increase	rank_from_biggest_decrease	gene_names	uniprot_acc	broad_gene_name	uniprot_gene_name	fungidb_gene_name	blast2go_annotation	is_tf	is_kinases	is_virulence_gene	order_peaktime	scer_orthologs	scer_ortholog_descriptions
CNAG_04707	-0.834248575306267	0.0386538020090354	AMB+LF down only	AMB+LF only	465	28	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_04653	-0.826210602875899	0.0263458235145866	AMB+LF down only	AMB+LF only	464	29	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	130	NA	NA
CNAG_07515	-0.824108149155436	0.0435652476378276	AMB+LF down only	AMB+LF only	463	30	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_07676	-0.808951158881847	0.00723423081361769	AMB+LF down only	AMB+LF only	462	31	NA	NA	ATP-dependent RNA helicase DBP2-A	ATP-dependent RNA helicase DBP2-A	ATP-dependent RNA helicase DBP2-A	DBP2_CRYNBAT|P-dependent RNA helicase DBP2-A OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=DBP2 PE=3 SV=1	NA	NA	NA	228	DBP2	ATP-dependent RNA helicase DBP2 (EC 3.6.4.13) (DEAD box protein 2) (p68-like protein)
CNAG_07824	-0.807748767948569	0.00972890920263932	AMB+LF down only	AMB+LF only	461	32	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	DTLB_XENLA|Denticleless protein homolog B OS=Xenopus laevis OX=8355 GN=dtl-b PE=2 SV=1	NA	NA	NA	4	NA	NA
CNAG_00529	-0.802223723676095	0.00319370975082694	AMB+LF down only	AMB+LF only	460	33	NA	NA	sulfite transporter	Sulfite transporter	sulfite transporter	SSU1_ARTOC|Sulfite efflux pump SSU1 OS=Arthroderma otae (strain ATCC MYA-4605 / CBS 113480) OX=554155 GN=SSU1 PE=3 SV=2	NA	NA	NA	NA	SSU1	Sulfite efflux pump SSU1 (Sulfite sensitivity protein SSU1)
CNAG_04474	-0.799305515713926	0.0188690760217075	AMB+LF down only	AMB+LF only	459	34	NA	NA	monocarboxylic acid transporter	Monocarboxylic acid transporter	monocarboxylic acid transporter	NA	NA	NA	NA	NA	NA	NA
CNAG_01916	-0.79072737879675	0.0372911394152637	AMB+LF down only	AMB+LF only	458	35	NA	NA	DNA mismatch repair protein MSH6	DNA mismatch repair protein MSH6	DNA mismatch repair protein msh6	MSH6_SCHPODN|A mismatch repair protein msh6 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=msh6 PE=1 SV=1	NA	NA	NA	940	MSH1; MSH6	DNA mismatch repair protein MSH1, mitochondrial (MutS protein homolog 1); DNA mismatch repair protein MSH6 (MutS protein homolog 6) (Postmeiotic segregation protein 3)
CNAG_07330	-0.777439076142284	0.0170130972356384	AMB+LF down only	AMB+LF only	457	36	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_05661	-0.774232259389149	0.024863614756386	AMB+LF down only	AMB+LF only	456	37	NA	NA	FACT complex subunit POB3	FACT complex subunit POB3	FACT complex subunit pob3	POB3_CRYNBFAC|T complex subunit POB3 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=POB3 PE=3 SV=1	NA	NA	NA	930	POB3	FACT complex subunit POB3 (Facilitates chromatin transcription complex subunit POB3)
CNAG_06227	-0.755411417246707	0.0331249161683494	AMB+LF down only	AMB+LF only	455	38	NA	NA	fanconi-associated nuclease 1	Fanconi-associated nuclease (EC 3.1.4.1)	fanconi-associated nuclease 1	FAN1_SCHPO|Fanconi-associated nuclease 1 homolog OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC146.06c PE=1 SV=1	NA	NA	NA	954	NA	NA
CNAG_07599	-0.751777619822902	0.0212117632109436	AMB+LF down only	AMB+LF only	454	39	NA	NA	DNA mismatch repair protein PMS2	DNA mismatch repair protein PMS2	DNA mismatch repair protein PMS2	PMS2_CHICK|Mismatch repair endonuclease PMS2 OS=Gallus gallus OX=9031 GN=PMS2 PE=2 SV=3	NA	NA	NA	948	PMS1	DNA mismatch repair protein PMS1 (Postmeiotic segregation protein 1)
CNAG_05453	-0.751628247012632	0.0218650249885009	AMB+LF down only	AMB+LF only	453	40	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	NA	NA	NA	NA	NA	NA	NA
CNAG_05803	-0.749845941970266	0.0472191311200059	AMB+LF down only	AMB+LF only	452	41	NA	NA	exo-beta-1,3-glucanase	Exo-beta-1,3-glucanase	exo-beta-1,3-glucanase	EXGD_ASPTN|Probable glucan 1,3-beta-glucosidase D OS=Aspergillus terreus (strain NIH 2624 / FGSC A1156) OX=341663 GN=exgD PE=3 SV=1	NA	NA	NA	488	NA	NA
CNAG_00653	-0.74277812250248	0.015219259978769	AMB+LF down only	AMB+LF only	451	42	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2	NA	NA	NA	NA	NA	NA	NA
CNAG_06608	-0.742468349488093	0.0106278640434405	AMB+LF down only	AMB+LF only	450	43	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	59	NA	NA
CNAG_06757	-0.741935794749747	0.0164479667748002	AMB+LF down only	AMB+LF only	449	44	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2	NA	NA	NA	NA	958	NA	NA
CNAG_04329	-0.740172869726558	0.0248065761967766	AMB+LF down only	AMB+LF only	448	45	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_05070	-0.72889997478358	0.025105067093549	AMB+LF down only	AMB+LF only	447	46	NA	NA	sulfite reductase (NADPH) hemoprotein, beta-component	Sulfite reductase (NADPH) hemoprotein, beta-component	sulfite reductase (NADPH) hemoprotein, beta- component	MET5_SCHPO|Sulfite reductase	NA	NA	NA	NA	MET5	Sulfite reductase [NADPH] subunit beta (EC 1.8.1.2) (Extracellular mutant protein 17)
CNAG_02867	-0.723923659697082	0.0123678131076671	AMB+LF down only	AMB+LF only	446	47	PLC1	NA	phosphatidylinositol phospholipase C, delta	Phosphoinositide phospholipase C (EC 3.1.4.11)	phosphatidylinositol phospholipase C, delta	PLC1_SCHP|O1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=plc1 PE=1 SV=1	NA	NA	TRUE	NA	PLC1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase 1 (EC 3.1.4.11) (Phosphoinositide phospholipase C) (Phospholipase C-1) (PLC-1)
CNAG_02867	-0.723923659697082	0.0123678131076671	AMB+LF down only	AMB+LF only	446	47	PLC1	NA	phosphatidylinositol phospholipase C, delta	Phosphoinositide phospholipase C (EC 3.1.4.11)	phosphatidylinositol phospholipase C, delta	PLC1_SCHP|O1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=plc1 PE=1 SV=1	NA	NA	TRUE	NA	PLC1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase 1 (EC 3.1.4.11) (Phosphoinositide phospholipase C) (Phospholipase C-1) (PLC-1)
CNAG_02544	-0.72302974724658	0.0254077265976801	AMB+LF down only	AMB+LF only	445	48	NA	NA	DNA repair protein Swi5/Sae3	DNA repair protein Swi5/Sae3	DNA repair protein Swi5/Sae3	SWI5_MOUSEDN|A repair protein SWI5 homolog OS=Mus musculus OX=10090 GN=Swi5 PE=1 SV=1	NA	NA	NA	114	NA	NA
CNAG_00128	-0.716636502356482	0.0147909692771106	AMB+LF down only	AMB+LF only	444	49	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	957	NA	NA
CNAG_06706	-0.708886436186996	0.0371964741981004	AMB+LF down only	AMB+LF only	443	50	NA	NA	proline-, glutamic acid- and leucine-rich protein 1	Proline-, glutamic acid-and leucine-rich protein 1	proline-, glutamic acid- and leucine-rich protein 1	NA	NA	NA	NA	NA	NA	NA
CNAG_03014	-0.707170184597264	0.018052470886477	AMB+LF down only	AMB+LF only	442	51	NA	NA	dolichyldiphosphatase	Dolichyldiphosphatase	dolichyldiphosphatase, dolichyldiphosphatase, variant	NA	NA	NA	NA	789	CAX4	Dolichyldiphosphatase (EC 3.6.1.43) (Dolichyl pyrophosphate phosphatase)
CNAG_06647	-0.705381926898847	0.0309144533449808	AMB+LF down only	AMB+LF only	441	52	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	CDC1_YEAST|Cell division control protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC1 PE=1 SV=2	NA	NA	NA	26	CDC1	Cell division control protein 1 (EC 3.1.-.-)
CNAG_00519	-0.69864490547536	0.0114463213592316	AMB+LF down only	AMB+LF only	440	53	ERG3	NA	lathosterol oxidase	Lathosterol oxidase	lathosterol oxidase	SC5D_MOUSE|Lathosterol oxidase OS=Mus musculus OX=10090 GN=Sc5d PE=2 SV=2	NA	NA	NA	NA	ERG3	Delta(7)-sterol 5(6)-desaturase (EC 1.14.19.20) (C-5 sterol desaturase) (Ergosterol Delta(5,6) desaturase) (Sterol-C5-desaturase)
CNAG_02902	-0.695788228494406	0.0334445232544918	AMB+LF down only	AMB+LF only	439	54	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_00836	-0.684603588272291	0.0419655896559976	AMB+LF down only	AMB+LF only	438	55	NA	NA	2-hydroxyacid dehydrogenase	2-hydroxyacid dehydrogenase	2-hydroxyacid dehydrogenase	YEAA_SCHPO|Putative 2-hydroxyacid dehydrogenase UNK4.10 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC2E11.10 PE=2 SV=1	NA	NA	NA	NA	GOR1	Glyoxylate reductase 1 (EC 1.1.1.26)
CNAG_08026	-0.681378888295736	0.018169553622145	AMB+LF down only	AMB+LF only	437	56	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_04289	-0.676084217390347	0.0241011257842882	AMB+LF down only	AMB+LF only	436	57	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_00129	-0.674699964112841	0.0321252601724245	AMB+LF down only	AMB+LF only	435	58	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_02561	-0.670510134513651	0.029110353060836	AMB+LF down only	AMB+LF only	434	59	NA	NA	spermine transporter	Spermine transporter	spermine transporter	NAG4_CANAL|Major facilitator superfamily multidrug transporter NAG4 OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=NAG4 PE=2 SV=1	NA	NA	NA	NA	TPO2; TPO3	Polyamine transporter 2; Polyamine transporter 3
CNAG_00819	-0.66849475345894	0.0358742257084275	AMB+LF down only	AMB+LF only	433	60	NA	NA	small subunit ribosomal protein S30	40S ribosomal protein S30	small subunit ribosomal protein S30	RS30A_SCHPO40|S ribosomal protein S30-A OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rps3001 PE=3 SV=1	NA	NA	NA	NA	RPS30A; RPS30B	40S ribosomal protein S30-A (Small ribosomal subunit protein eS30-A); 40S ribosomal protein S30-B (Small ribosomal subunit protein eS30-B)
CNAG_00384	-0.666510493946836	0.0463231523210554	AMB+LF down only	AMB+LF only	432	61	NA	NA	RAD51-like protein 2	RAD51-like protein 2	RAD51-like protein 2	RA51C_ARATHDN|A repair protein RAD51 homolog 3 OS=Arabidopsis thaliana OX=3702 GN=RAD51C PE=1 SV=2	NA	NA	NA	NA	NA	NA
CNAG_05102	-0.663791688159994	0.0103976109235363	AMB+LF down only	AMB+LF only	431	62	NA	NA	DNA repair protein Rad5	DNA repair protein Rad5	DNA repair protein rad5	HLTF_HUMAN|Helicase-like transcription factor OS=Homo sapiens OX=9606 GN=HLTF PE=1 SV=2	NA	NA	NA	963	RAD5	DNA repair protein RAD5 (EC 3.6.4.-) (Radiation sensitivity protein 5) (Revertibility protein 2)
CNAG_04323	-0.662666532962418	0.0132254204588353	AMB+LF down only	AMB+LF only	430	63	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	PRM10_KLULA|Pheromone-regulated membrane protein 10 OS=Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) OX=284590 GN=KLLA0F02816g PE=3 SV=1	NA	NA	NA	NA	PRM10	Pheromone-regulated membrane protein 10
CNAG_05429	-0.661665749441935	0.0366138699532825	AMB+LF down only	AMB+LF only	429	64	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	34	RTT109	Histone acetyltransferase RTT109 (EC 2.3.1.48) (Regulator of Ty1 transposition protein 109)
CNAG_05685	-0.661124590971631	0.0453104162152441	AMB+LF down only	AMB+LF only	428	65	NA	NA	neutral amino acid transporter	Neutral amino acid transporter	neutral amino acid transporter	MTR_NEUCR|N amino acid transport system protein OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=mtr PE=3 SV=2	NA	NA	NA	NA	NA	NA
CNAG_00991	-0.655221983630089	0.0235474255055736	AMB+LF down only	AMB+LF only	427	66	FEN1	J9VNZ1	flap endonuclease 1	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1)	flap endonuclease 1	FEN1_CRYNB|Flap endonuclease 1 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=FEN1 PE=3 SV=1	NA	NA	NA	15	RAD27	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1) (RAD2 homolog nuclease 1) (RTH1 nuclease) (Structure-specific endonuclease RAD27)
CNAG_01749	-0.652725388335783	0.01094006092431	AMB+LF down only	AMB+LF only	426	67	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_03866	-0.652571024140035	0.0195201400658685	AMB+LF down only	AMB+LF only	425	68	NA	NA	solute carrier family 32 (vesicular inhibitory amino acid transporter)	Solute carrier family 32 (Vesicular inhibitory amino acid transporter)	solute carrier family 32 (vesicular inhibitory amino acid transporter)	AVT1_YEAST|Vacuolar amino acid transporter 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AVT1 PE=1 SV=1	NA	NA	NA	NA	AVT1	Vacuolar amino acid transporter 1
CNAG_06729	-0.651315442898764	0.0258882879210452	AMB+LF down only	AMB+LF only	424	69	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	PET117	Protein PET117, mitochondrial
CNAG_02854	-0.649968863784251	0.0201232211975637	AMB+LF down only	AMB+LF only	423	70	NA	NA	peroxiredoxin Q/BCP	Peroxiredoxin Q/BCP	peroxiredoxin Q/BCP	PRX_SCHPO|Peroxiredoxin bcp1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=bcp1 PE=1 SV=1	NA	NA	NA	1033	DOT5	Peroxiredoxin DOT5 (Prx) (EC 1.11.1.15) (Disrupter of telomere silencing protein 5) (Nuclear thiol peroxidase) (nTPx) (Thioredoxin peroxidase)
CNAG_03498	-0.649528329208059	0.0144948177527879	AMB+LF down only	AMB+LF only	422	71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNAG_00886	-0.64701568590017	0.00719305297547435	AMB+LF down only	AMB+LF only	421	72	SAH1	NA	adenosylhomocysteinase	Adenosylhomocysteinase (EC 3.3.1.1)	Adenosylhomocysteinase	SAHH_SCHPO|Adenosylhomocysteinase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=pi047 PE=3 SV=1	NA	NA	NA	NA	SAH1	Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase)
CNAG_02353	-0.639785793969187	0.0251692569083499	AMB+LF down only	AMB+LF only	420	73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNAG_02299	-0.636018962472296	0.00800914498815472	AMB+LF down only	AMB+LF only	419	74	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_04517	-0.622279649095404	0.0170005256933207	AMB+LF down only	AMB+LF only	418	75	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_03258	-0.621098061248833	0.0107104054772003	AMB+LF down only	AMB+LF only	417	76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNAG_05394	-0.616759785253471	0.0129388117309821	AMB+LF down only	AMB+LF only	416	77	NA	NA	cation:cation antiporter	Cation:cation antiporter	cation:cation antiporter	CIS4_SCHPO|Probable zinc transporter cis4 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=cis4 PE=1 SV=1	NA	NA	NA	992	MSC2	Probable zinc transporter MSC2 (Meiotic sister chromatid recombination protein 2)
CNAG_05800	-0.603046080703968	0.0213620229683195	AMB+LF down only	AMB+LF only	415	78	NA	NA	large subunit ribosomal protein L33-b	Large subunit ribosomal protein L33-b	large subunit ribosomal protein L33-b	RL33B_YEAST60|S ribosomal protein L33-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL33B PE=1 SV=2	NA	NA	NA	NA	RPL33A; RPL33B	60S ribosomal protein L33-A (L37) (Large ribosomal subunit protein eL33-A) (RP47) (YL37); 60S ribosomal protein L33-B (L37) (Large ribosomal subunit protein eL33-B) (RP47) (YL37)
CNAG_04114	-0.592360414967419	0.0235387214835526	AMB+LF down only	AMB+LF only	414	79	RPS0	J9VYP1	small subunit ribosomal protein S0	40S ribosomal protein S0	small subunit ribosomal protein S0	RSSA_CRYNB40|S ribosomal protein S0 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=RPS0 PE=3 SV=1	NA	NA	NA	NA	RPS0A; RPS0B	40S ribosomal protein S0-A (Nucleic acid-binding protein NAB1A) (Small ribosomal subunit protein uS2-A); 40S ribosomal protein S0-B (Nucleic acid-binding protein NAB1B) (Small ribosomal subunit protein uS2-B)
