genes	logFC.A	FDR.A	groups	coarse_groups	rank_from_biggest_increase	rank_from_biggest_decrease	gene_names	uniprot_acc	broad_gene_name	uniprot_gene_name	fungidb_gene_name	blast2go_annotation	is_tf	is_kinases	is_virulence_gene	order_peaktime	scer_orthologs	scer_ortholog_descriptions
CNAG_06901	-1.03827077626978	0.00273010321069569	AMB down only	AMB only	618	10	ALG7	NA	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase	UDP-N-acetylglucosamine-dolichyl-phosphate N- acetylglucosaminephosphotransferase	GPT_SCHPOUD|P-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=gpt2 PE=3 SV=1	NA	NA	NA	758	ALG7	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (EC 2.7.8.15) (GlcNAc-1-P transferase) (G1PT) (GPT) (N-acetylglucosamine-1-phosphate transferase) (Tunicamycin resistance protein 1)
CNAG_03944	-1.03192769148759	0.00529952084575435	AMB down only	AMB only	617	11	NA	NA	chaperone regulator	Chaperone regulator	chaperone regulator	DNJH_ATRNU|DnaJ protein homolog ANJ1 OS=Atriplex nummularia OX=3553 PE=2 SV=1	NA	NA	NA	NA	YDJ1	Mitochondrial protein import protein MAS5 (Yeast dnaJ protein 1)
CNAG_00598	-1.02099513635866	0.0391340158548352	AMB down only	AMB only	616	12	NA	NA	nicotinamide mononucleotide permease	Nicotinamide mononucleotide permease	nicotinamide mononucleotide permease	PRLL_FUNXXMF|S transporter prlL OS=Fungal sp. (strain NRRL 50135) OX=1547289 GN=prlL PE=3 SV=1	NA	NA	NA	NA	TNA1	High-affinity nicotinic acid transporter (Nicotinic acid permease)
CNAG_08020	-0.967819909812428	0.0159908177056162	AMB down only	AMB only	615	13	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	780	NA	NA
CNAG_07776	-0.951504902948453	0.00413646919732631	AMB down only	AMB only	614	14	NA	NA	tRNA pseudouridine(38-40) synthase	tRNA pseudouridine(38-40) synthase	tRNA pseudouridine(38-40) synthase	PUS3_YEAS|TtRNA pseudouridine(38/39) synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DEG1 PE=1 SV=1	NA	NA	NA	NA	DEG1	tRNA pseudouridine(38/39) synthase (EC 5.4.99.45) (Depressed growth-rate protein DEG1) (tRNA pseudouridine synthase 3) (tRNA pseudouridylate synthase 3) (tRNA-uridine isomerase 3)
CNAG_05338	-0.950238604174079	0.00608273386037656	AMB down only	AMB only	613	15	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	645	NA	NA
CNAG_02440	-0.872536167936896	0.0142587419864124	AMB down only	AMB only	612	16	NA	NA	cation-transporting ATPase	Cation-transporting ATPase	cation-transporting ATPase	ENPL_BOVIN|Endoplasmin OS=Bos taurus OX=9913 GN=HSP90B1 PE=2 SV=1	NA	NA	NA	NA	NA	NA
CNAG_03644	-0.830049250503746	0.0107046952455496	AMB down only	AMB only	611	17	CAS3	NA	hypothetical protein	Uncharacterized protein	capsule related protein	NA	NA	NA	NA	NA	NA	NA
CNAG_05223	-0.821773256086225	0.00381028978664318	AMB down only	AMB only	610	18	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	SPAG1_MOUSE|Sperm-associated antigen 1 OS=Mus musculus OX=10090 GN=Spag1 PE=1 SV=1	NA	NA	NA	NA	TAH1	TPR repeat-containing protein associated with Hsp90
CNAG_00789	-0.817585884616753	0.00425852675499996	AMB down only	AMB only	609	19	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_07953	-0.810012650340453	0.0163667224563409	AMB down only	AMB only	608	20	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	JJJ3	Diphthamide biosynthesis protein 4 (J protein type 3)
CNAG_05324	-0.806724401615571	0.0209080518801664	AMB down only	AMB only	607	21	NA	NA	sugar transporter	Sugar transporter	Sugar transporter	HGT1_KLULA|High-affinity glucose transporter OS=Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) OX=284590 GN=HGT1 PE=3 SV=1	NA	NA	NA	NA	GAL2; HXT1; HXT10; HXT11; HXT13; HXT15; HXT16; HXT17; HXT2; HXT3; HXT4; HXT5; HXT6; HXT7; HXT8; HXT9; RGT2; SNF3	Galactose transporter (Galactose permease); Low-affinity glucose transporter HXT1; Hexose transporter HXT10; Hexose transporter HXT11 (Low-affinity glucose transporter LGT3); Hexose transporter HXT13; Hexose transporter HXT15; Hexose transporter HXT16; Hexose transporter HXT17; High-affinity glucose transporter HXT2; Low-affinity glucose transporter HXT3; Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1); Probable glucose transporter HXT5; High-affinity hexose transporter HXT6; High-affinity hexose transporter HXT7; Hexose transporter HXT8; Hexose transporter HXT9; High-affinity glucose transporter RGT2; High-affinity glucose transporter SNF3
CNAG_01696	-0.798125137010819	0.00505813162482549	AMB down only	AMB only	606	22	NA	NA	chaperone DnaJ	Chaperone DnaJ	chaperone DnaJ, chaperone DnaJ, variant	MDJ1_EMENI|DnaJ homolog 1, mitochondrial OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=AN10778 PE=3 SV=1	NA	NA	NA	NA	MDJ1	DnaJ homolog 1, mitochondrial
CNAG_07466	-0.794396136208083	0.0407236127987337	AMB down only	AMB only	605	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNAG_02136	-0.79322361231122	0.00473268408398498	AMB down only	AMB only	604	24	NA	NA	small subunit ribosomal protein S6	Small subunit ribosomal protein S6	small subunit ribosomal protein S6	RT06_SCHPO37|S ribosomal protein MRP17, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=mrp17 PE=3 SV=2	NA	NA	NA	NA	MRP17	37S ribosomal protein MRP17, mitochondrial (Mitochondrial small ribosomal subunit protein bS6m) (YmS16)
CNAG_07565	-0.779481066719543	0.00578129636256152	AMB down only	AMB only	603	25	TAF9	NA	transcription initiation factor TFIID subunit 9B	Transcription initiation factor TFIID subunit 9B	transcription initiation factor TFIID subunit 9B	NA	NA	NA	NA	NA	TAF9	Transcription initiation factor TFIID subunit 9 (TAFII-17) (TAFII20) (TBP-associated factor 17 kDa) (TBP-associated factor 9)
CNAG_01917	-0.756009964881232	0.00422601199648381	AMB down only	AMB only	602	26	NA	NA	ribonuclease P protein subunit POP4	Ribonuclease P protein subunit POP4	ribonuclease P protein subunit POP4	NA	NA	NA	NA	NA	POP4	RNases MRP/P 32.9 kDa subunit (RNA-processing protein POP4)
CNAG_02045	-0.749367547458981	0.019439700077441	AMB down only	AMB only	601	27	NA	NA	acetoacetate-CoA ligase	Acetoacetate-CoA ligase	acetoacetate-CoA ligase	AACS_DANRE|Acetoacetyl-CoA synthetase OS=Danio rerio OX=7955 GN=aacs PE=2 SV=1	NA	NA	NA	663	NA	NA
CNAG_02471	-0.738935866461228	0.0126426361652608	AMB down only	AMB only	600	28	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_00100	-0.735723277398657	0.0260210286470808	AMB down only	AMB only	599	29	NA	NA	stress-induced-phosphoprotein 1	Stress-induced-phosphoprotein 1	stress-induced-phosphoprotein 1	STI1_SCHPO|Heat shock protein sti1 homolog OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sti1 PE=3 SV=1	NA	NA	NA	NA	STI1	Heat shock protein STI1
CNAG_03891	-0.711027686836764	0.0332020734056957	AMB down only	AMB only	598	30	NA	NA	hsp60-like protein	Hsp60-like protein	hsp60-like protein	HSP60_PARBA|Heat shock protein 60, mitochondrial OS=Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) OX=502779 GN=HSP60 PE=1 SV=1	NA	NA	NA	NA	HSP60	Heat shock protein 60, mitochondrial (CPN60) (P66) (Stimulator factor I 66 kDa component)
CNAG_05196	-0.685482238321315	0.0188511502203022	AMB down only	AMB only	597	31	NA	NA	nuclear cap-binding protein subunit 2	Nuclear cap-binding protein subunit 2 (20 kDa nuclear cap-binding protein)	nuclear cap-binding protein subunit 2	NCBP2_BOMMO|Nuclear cap-binding protein subunit 2 OS=Bombyx mori OX=7091 PE=2 SV=1	NA	NA	NA	NA	CBC2	Nuclear cap-binding protein subunit 2 (20 kDa nuclear cap-binding protein) (NCBP 20 kDa subunit) (CBP20)
CNAG_05476	-0.685444055674817	0.0279350430940186	AMB down only	AMB only	596	32	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_03176	-0.679241711029036	0.00486035871583705	AMB down only	AMB only	595	33	NA	NA	endoplasmic oxidoreductin 1	Endoplasmic oxidoreductin 1	endoplasmic oxidoreductin 1	ERO1_NEUCR|Endoplasmic reticulum oxidoreductin-1 OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=ero-1 PE=3 SV=1	NA	NA	NA	NA	ERO1	Endoplasmic oxidoreductin-1 (EC 1.8.4.-) (Endoplasmic reticulum oxidoreductase protein 1)
CNAG_05268	-0.674278711059369	0.0186162996759781	AMB down only	AMB only	594	34	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NAT9_MOUSE|N-acetyltransferase 9 OS=Mus musculus OX=10090 GN=Nat9 PE=1 SV=2	NA	NA	NA	NA	NA	NA
CNAG_04038	-0.673650192327676	0.0472350946831635	AMB down only	AMB only	593	35	NA	NA	MFS quinate transporter QutD	MFS quinate transporter QutD	MFS quinate transporter QutD	QUTD_NEOFI|Probable quinate permease OS=Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) OX=331117 GN=qutD PE=3 SV=1	NA	NA	NA	NA	NA	NA
CNAG_06463	-0.671433618895306	0.0458843411463627	AMB down only	AMB only	592	36	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	NA	NA	NA	NA	NA	NA	NA
CNAG_03489	-0.656817743403392	0.00768308390214823	AMB down only	AMB only	591	37	NA	NA	RNA recognition domain-containing protein (RRM)-containing protein	RNA recognition domain-containing protein (RRM)-containing protein	RNA recognition domain-containing protein (RRM)- containing protein	YDB2_SCHPO|Uncharacterized RNA-binding protein C22E12.02 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC22E12.02 PE=4 SV=1	NA	NA	NA	NA	NA	NA
CNAG_03892	-0.6535038245633	0.00396688248447068	AMB down only	AMB only	590	38	NA	NA	chaperonin GroES	Chaperonin GroES	chaperonin GroES	CH10_SCHP|O10 kDa heat shock protein, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=hsp10 PE=1 SV=1	NA	NA	NA	NA	HSP10	10 kDa heat shock protein, mitochondrial (HSP10) (10 kDa chaperonin)
CNAG_03693	-0.650769628990373	0.0221838257110292	AMB down only	AMB only	589	39	NA	NA	large subunit ribosomal protein L11	Large subunit ribosomal protein L11	large subunit ribosomal protein L11	RM19_SCHPO54|S ribosomal protein L19, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=mrpl19 PE=3 SV=1	NA	NA	NA	NA	MRPL19	54S ribosomal protein L19, mitochondrial (Mitochondrial large ribosomal subunit protein uL11m) (YmL19)
CNAG_05435	-0.646977860433997	0.03453819289865	AMB down only	AMB only	588	40	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_02187	-0.642296411748758	0.0117665178414154	AMB down only	AMB only	587	41	NA	NA	terbinafine resistance locus protein	Protein YIP	terbinafine resistance locus protein	YIPF6_DICDI|Protein YIPF6 homolog OS=Dictyostelium discoideum OX=44689 GN=yipf6 PE=3 SV=2	NA	NA	NA	NA	YIP4	Protein YIP4 (YPT-interacting protein 4)
CNAG_06157	-0.639114181113408	0.0066986045376335	AMB down only	AMB only	586	42	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_00841	-0.635652435796947	0.0111303424859786	AMB down only	AMB only	585	43	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	TRUE	NA	NA	NA	NA	NA
CNAG_02254	-0.634939816655948	0.0219078170279167	AMB down only	AMB only	584	44	LPI12	NA	quinate permease	Quinate permease	quinate permease	QUTD_NEOFI|Probable quinate permease OS=Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) OX=331117 GN=qutD PE=3 SV=1	NA	NA	NA	NA	NA	NA
CNAG_04858	-0.626629705797561	0.0152647039907761	AMB down only	AMB only	583	45	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_00305	-0.623069453240274	0.0379128582701427	AMB down only	AMB only	582	46	NA	NA	chaperone activator	Chaperone activator	chaperone activator, chaperone activator, variant	AHA1_YEAST|Hsp90 co-chaperone AHA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AHA1 PE=1 SV=1	NA	NA	NA	NA	AHA1	Hsp90 co-chaperone AHA1 (Activator of Hsp90 ATPase protein 1)
CNAG_00520	-0.615795938366248	0.00938133119464363	AMB down only	AMB only	581	47	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	272	NA	NA
CNAG_03834	-0.613694645697329	0.00621544426807506	AMB down only	AMB only	580	48	NA	NA	C4-hydroxylase	C4-hydroxylase	C4-hydroxylase	SUR2_YEAST|Sphingolipid C4-hydroxylase SUR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SUR2 PE=1 SV=1	NA	NA	NA	NA	SUR2	Sphingolipid C4-hydroxylase SUR2 (EC 1.-.-.-) (Syringomycin response protein 2)
CNAG_04204	-0.603797537336298	0.0263787361823146	AMB down only	AMB only	579	49	NA	NA	transcription elongation factor SPT4	Transcription elongation factor SPT4	transcription elongation factor spt4	SPT4_CRYNB|Transcription elongation factor SPT4 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=SPT4 PE=3 SV=1	NA	NA	NA	NA	SPT4	Transcription elongation factor SPT4 (Chromatin elongation factor SPT4)
CNAG_01553	-0.596753913064672	0.00799083252055657	AMB down only	AMB only	578	50	NA	NA	CORD and CS domain-containing protein	CORD and CS domain-containing protein	CORD and CS domain-containing protein	RAR1_ORYSJ|Cysteine and histidine-rich domain-containing protein RAR1 OS=Oryza sativa subsp. japonica OX=39947 GN=RAR1 PE=1 SV=2	NA	NA	NA	249	NA	NA
CNAG_07002	-0.596520194764221	0.0179292221268127	AMB down only	AMB only	577	51	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	NA	NA	NA	NA	NA	NA	NA
CNAG_04193	-0.588741060361229	0.0079387946832302	AMB down only	AMB only	576	52	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_06704	-0.58481376871519	0.00715221829318989	AMB down only	AMB only	575	53	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_03459	-0.58331477268757	0.00461562908592016	AMB down only	AMB only	574	54	NA	NA	T-complex protein 1 subunit delta	T-complex protein 1 subunit delta	T-complex protein 1 subunit delta	TCPD_SCHPO|T-complex protein 1 subunit delta OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=cct4 PE=2 SV=2	NA	NA	NA	NA	CCT4	T-complex protein 1 subunit delta (TCP-1-delta) (CCT-delta)
CNAG_00151	-0.582979928381816	0.0159908177056162	AMB down only	AMB only	573	55	NA	NA	transcription elongation regulator 1	Transcription elongation regulator 1	transcription elongation regulator 1	TCRG1_HUMAN|Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1 PE=1 SV=2	NA	NA	NA	NA	NA	NA
CNAG_00535	-0.572467569313342	0.00243418236619959	AMB down only	AMB only	572	56	NA	NA	large subunit ribosomal protein L16	Large subunit ribosomal protein L16	large subunit ribosomal protein L16	RM16_SCHPO54|S ribosomal protein L16, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=mrpl16 PE=3 SV=1	NA	NA	NA	NA	MRPL16	54S ribosomal protein L16, mitochondrial (Mitochondrial large ribosomal subunit protein uL16m) (YmL47)
CNAG_01185	-0.572285221899771	0.00906147281267613	AMB down only	AMB only	571	57	NA	NA	hsp70-like protein	Hsp70-like protein	Hsp70-like protein	FES1_CRYNB|Hsp70 nucleotide exchange factor FES1 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=FES1 PE=3 SV=1	NA	NA	NA	279	FES1; SIL1	Hsp70 nucleotide exchange factor FES1 (Factor exchange for SSA1 protein 1); Nucleotide exchange factor SIL1 (Protein SLS1)
CNAG_03925	-0.571580486812732	0.0201187587729339	AMB down only	AMB only	570	58	NA	NA	mitochondrial inner membrane protease subunit 2	Mitochondrial inner membrane protease subunit 2	mitochondrial inner membrane protease subunit 2	IMP2L_SCHPO|Mitochondrial inner membrane protease subunit 2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC336.13c PE=3 SV=1	NA	NA	NA	816	IMP2	Mitochondrial inner membrane protease subunit 2 (EC 3.4.21.-)
CNAG_02797	-0.567432681261092	0.0191519611620068	AMB down only	AMB only	569	59	CPL1	NA	hypothetical protein	Uncharacterized protein	putative secreted protein	PRIA_LENED|Protein priA OS=Lentinula edodes OX=5353 GN=priA PE=2 SV=1	NA	NA	NA	955	NA	NA
CNAG_01568	-0.5641222341174	0.0114136567790833	AMB down only	AMB only	568	60	NA	NA	T-complex protein 1 subunit alpha	T-complex protein 1 subunit alpha	T-complex protein 1 subunit alpha	TCPA_SCHPO|T-complex protein 1 subunit alpha OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=cct1 PE=3 SV=1	NA	NA	NA	NA	TCP1	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha)
CNAG_01103	-0.561995870674999	0.00715959591625373	AMB down only	AMB only	567	61	PRP11	NA	splicing factor 3A subunit 2	Splicing factor 3A subunit 2	splicing factor 3a subunit 2	SF3A2_RAT|Splicing factor 3A subunit 2 OS=Rattus norvegicus OX=10116 GN=Sf3a2 PE=2 SV=1	NA	NA	NA	121	PRP11	Pre-mRNA-splicing factor PRP11
CNAG_02191	-0.56102787032788	0.016454595583111	AMB down only	AMB only	566	62	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	ZIM17_YEAS1|Mitochondrial protein import protein ZIM17 OS=Saccharomyces cerevisiae (strain RM11-1a) OX=285006 GN=ZIM17 PE=3 SV=2	NA	NA	NA	NA	ZIM17	Mitochondrial protein import protein ZIM17 (Mitochondrial import inner membrane translocase subunit TIM15) (mtHsp70 escort protein 1) (mtHsp70-associated motor and chaperone protein TIM15/ZIM17) (MMC)
CNAG_02424	-0.560698961671213	0.0164024289169312	AMB down only	AMB only	565	63	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_04165	-0.559065959982581	0.00499345849546092	AMB down only	AMB only	564	64	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_04914	-0.557954170512308	0.0198067375078167	AMB down only	AMB only	563	65	NA	NA	small nuclear ribonucleoprotein G	Small nuclear ribonucleoprotein G (snRNP-G)	small nuclear ribonucleoprotein G	RUXG_BOVIN|Small nuclear ribonucleoprotein G OS=Bos taurus OX=9913 GN=SNRPG PE=3 SV=1	NA	NA	NA	NA	SMX2	Small nuclear ribonucleoprotein G (snRNP-G) (Sm protein G) (Sm-G) (SmG)
CNAG_00742	-0.556938936781603	0.0199188096774481	AMB down only	AMB only	562	66	NA	NA	serine palmitoyltransferase	Serine palmitoyltransferase	Serine palmitoyltransferase	LCB1_SCHPO|Serine palmitoyltransferase 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=lcb1 PE=3 SV=1	NA	NA	NA	NA	LCB1	Serine palmitoyltransferase 1 (SPT 1) (SPT1) (EC 2.3.1.50) (Long chain base biosynthesis protein 1)
CNAG_03081	-0.555229512924033	0.00799083252055657	AMB down only	AMB only	561	67	NA	NA	ATP-dependent RNA helicase MRH4, mitochondrial	ATP-dependent RNA helicase MRH4, mitochondrial	ATP-dependent RNA helicase MRH4, mitochondrial	MRH4_CRYNBAT|P-dependent RNA helicase MRH4, mitochondrial OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=MRH4 PE=3 SV=1	NA	NA	NA	NA	MRH4	ATP-dependent RNA helicase MRH4, mitochondrial (EC 3.6.4.13) (Mitochondrial RNA helicase 4)
