oln_id	scer_gene_name	sgd_description	scer_uniprot_description	uniprot_acc	is_tf	is_kinases	peak_time	cneo_orthologs	cneo_ortholog_descriptions
YAL063C-A		Putative protein of unknown function; identified by expression profiling and mass spectrometry	Uncharacterized protein YAL063C-A	Q3E791					
									
YAL063C	FLO9	Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation	Flocculation protein FLO9 (Flocculin-9)	P39712					
									
ARS104		Autonomously Replicating Sequence							
									
YAL062W	GDH3	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication	NADP-specific glutamate dehydrogenase 2 (NADP-GDH 2) (EC 1.4.1.4) (NADP-dependent glutamate dehydrogenase 2)	P39708					
									
YAL061W	BDH2	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3	Probable diacetyl reductase [(R)-acetoin forming] 2 (EC 1.1.1.303)	P39713					
									
YAL060W	BDH1	NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source	(R,R)-butanediol dehydrogenase (EC 1.1.1.4)	P39714					
									
YAL059W	ECM1	Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm	Shuttling pre-60S factor ECM1 (Extracellular mutant protein 1) (Protein SIM1)	P39715			77		
									
YAL059C-A		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene ECM1/YAL059W							
									
YAL058W	CNE1	Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast	Calnexin homolog	P27825					
									
YAL056C-A		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data							
									
YAL056W	GPB2	Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication	Guanine nucleotide-binding protein subunit beta 2 (Gbeta mimic kelch protein 2)	P39717					
									
ARS105		Autonomously Replicating Sequence							
YAL055W	PEX22	Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation	Peroxisome assembly protein 22 (Peroxin-22)	P39718					
									
YAL054C	ACS1	Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions	Acetyl-coenzyme A synthetase 1 (EC 6.2.1.1) (Acetate--CoA ligase 1) (Acyl-activating enzyme 1)	Q01574					
									
YAL053W	FLC2	Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication	Flavin carrier protein 2 (FAD transporter 2) (TRP-like ion channel FLC2)	P39719			26		
									
YAL051W	OAF1	Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication	Oleate-activated transcription factor 1	P39720	TRUE				
									
YAL049C	AIM2	Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor	Protein AIM2 (Altered inheritance rate of mitochondria protein 2)	P39721					
									
YAL047W-A		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF GEM1/YAL048C							
									
YAL048C	GEM1	Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases	Mitochondrial Rho GTPase 1 (EC 3.6.5.-) (GTPase EF-hand protein of mitochondria 1)	P39722					
									
YAL047C	SPC72	Gamma-tubulin small complex (gamma-TuSC) receptor; recruits the gamma-TuSC complex to the cytoplasmic side of the SPB, connecting nuclear microtubules to the SPB; involved in astral microtubule formation, stabilization, and with Stu2p, anchoring astral MTs at the cytoplasmic face of the SPB, and regulating plus-end MT dynamics; regulated by Cdc5 kinase	Spindle pole component SPC72	P39723					
									
YAL046C	BOL3	Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member, BOLA3, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2)	BolA-like protein 3 (Altered inheritance of mitochondria protein 1)	P39724					
									
YAL044W-A	BOL1	Mitochondrial matrix protein involved in Fe-S cluster biogenesis; facilitates [4Fe-2S] cluster inception into mitochondrial proteins such as lipoate synthase and succinate dehydrogenase; interacts and may function with Grx5p at an early step in Fe-S cluster biosynthesis; forms dimeric complexes with Grx5p and Nfu1p that alter the stability of shared Fe/S clusters; sequence similarity to human BOLA family member, BOLA1 and S. pombe uvi31, a putative DNA repair protein	BolA-like protein 1	Q3E793					
									
YAL045C		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A							
									
YAL044C	GCV3	H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF	Glycine cleavage system H protein, mitochondrial (Glycine decarboxylase complex subunit H)	P39726					
									
YAL043C	PTA1	Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII	Pre-tRNA-processing protein PTA1	Q01329					
									
YAL042W	ERV46	Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport	ER-derived vesicles protein ERV46	P39727					
									
YAL042C-A		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene							
									
YAL041W	CDC24	Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42	Cell division control protein 24 (Calcium regulatory protein)	P11433					
									
YAL040C	CLN3	G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1	G1/S-specific cyclin CLN3	P13365			86		
									
YAL039C	CYC3	Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS), and can complement yeast null mutant	Cytochrome c heme lyase (CCHL) (EC 4.4.1.17) (Holocytochrome-c synthase)	P06182					
									
ARS106		Autonomously Replicating Sequence							
									
YAL038W	CDC19	Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication	Pyruvate kinase 1 (PK 1) (EC 2.7.1.40) (cell division cycle protein 19)	P00549					
									
YAL037C-B		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching							
									
YAL037C-A		Putative protein of unknown function	Putative uncharacterized protein YAL037C-A	Q3E741					
									
YAL037W		Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication	Uncharacterized protein YAL037W	P39728					
									
YAL036C	RBG1	Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid	Ribosome-interacting GTPase 1 (GTP-binding protein RBG1) (Genetically interacts with ribosomal genes protein 1)	P39729					
									
YAL035W	FUN12	Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2	Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2)	P39730					
									
YAL034W-A	MTW1	Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)	Kinetochore-associated protein MTW1 (Mis12-like protein)	P39731			26		
									
YAL034C-B		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data							
									
YAL034C	FUN19	Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication	SWIRM domain-containing protein FUN19	P28003					
									
YAL033W	POP5	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs	Ribonuclease P/MRP protein subunit POP5 (EC 3.1.26.5) (RNA-processing protein POP5) (RNase P/MRP 19.6 kDa subunit)	P28005					
									
YAL032C	PRP45	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene	Pre-mRNA-processing protein 45	P28004					
									
YAL031W-A		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF GIP4/YAL031C							
									
YAL031C	GIP4	Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate	GLC7-interacting protein 4	P39732					
									
YAL030W	SNC1	Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication	Synaptobrevin homolog 1	P31109					
									
									
									
YAL029C	MYO4	Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication	Myosin-4 (SWI5-dependent HO expression protein 1)	P32492					
									
YAL028W	FRT2	Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication	Protein HPH2 (Functionally related to TCP1 protein 2) (High pH protein 2)	P39734					
									
YAL027W	SAW1	5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus	Single-strand annealing weakened protein 1	P39735					
									
YAL026C-A		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2							
									
HRA1	HRA1	Non-protein-coding RNA; substrate of RNase P, possibly involved in rRNA processing, specifically maturation of 20S precursor into the mature 18S rRNA							
									
YAL026C	DRS2	Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease	Probable phospholipid-transporting ATPase DRS2 (EC 7.6.2.1)	P39524					
									
YAL025C	MAK16	Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus	Protein MAK16 (Maintenance of killer protein 16)	P10962			77		
									
YAL024C	LTE1	Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures	Guanine nucleotide exchange factor LTE1 (Low temperature essential protein 1)	P07866					
									
YAL023C	PMT2	Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication	Dolichyl-phosphate-mannose--protein mannosyltransferase 2 (EC 2.4.1.109)	P31382					
									
YAL022C	FUN26	High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member	Nucleoside transporter FUN26	P31381			83		
									
YAL021C	CCR4	Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening	Glucose-repressible alcohol dehydrogenase transcriptional effector (EC 3.1.13.4) (Carbon catabolite repressor protein 4) (Cytoplasmic deadenylase)	P31384					
									
YAL019W-A		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF ATS1/YAL020C							
									
YAL020C	ATS1	Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p	Protein ATS1 (Alpha-tubulin suppressor 1)	P31386					
									
YAL019W	FUN30	Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate	ATP-dependent helicase FUN30 (EC 3.6.4.12)	P31380					
									
YAL018C	LDS1	Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants	Outer spore wall protein LDS1 (Lipid droplets in sporulation protein 1)	P31379					
									
YAL017W	PSK1	PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication	Serine/threonine-protein kinase PSK1 (EC 2.7.11.1) (PAS kinase 1)	P31374		TRUE			
									
ARS107		Autonomously Replicating Sequence							
									
YAL016C-B		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data							
									
YAL016W	TPD3	Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III	Protein phosphatase PP2A regulatory subunit A (PR65)	P31383					
									
YAL016C-A		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF TPD3/YAL016W							
									
YAL015C	NTG1	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication	Endonuclease III homolog 1 (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase 1) (DNA glycosylase/AP lyase 1) (Endonuclease III-like glycosylase 1) (Redoxyendonuclease 1)	P31378					
									
YAL014C	SYN8	Endosomal SNARE related to mammalian syntaxin 8	Syntaxin-8 (SNARE protein related to mammalian syntaxin 8) (ULP1-interacting protein 2)	P31377					
									
YAL013W	DEP1	Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation	Transcriptional regulatory protein DEP1	P31385					
									
YAL012W	CYS3	Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress	Cystathionine gamma-lyase (EC 4.4.1.1) (Gamma-cystathionase) (Sulfur transfer protein 1)	P31373					
									
YAL011W	SWC3	Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae	SWR1-complex protein 3	P31376					
									
YAL010C	MDM10	Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase	Mitochondrial distribution and morphology protein 10 (Mitochondrial inheritance component MDM10)	P18409					
									
YAL009W	SPO7	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation	Sporulation-specific protein SPO7	P18410					
									
YAL008W	FUN14	Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis	Protein FUN14	P18411					
									
YAL007C	ERP2	Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication	Protein ERP2	P39704			34		
									
YALCdelta2		Ty1 LTR							
tP(UGG)A	TRN1	Proline tRNA (tRNA-Pro), predicted by tRNAscan-SE analysis; target of K. lactis zymocin; can mutate to suppress +1 frameshift mutations in proline codons							
									
									
									
YAL004W		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C							
									
YAL005C	SSA1	ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils	Heat shock protein SSA1 (Heat shock protein YG100)	P10591					
									
YAL003W	EFB1	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants	Elongation factor 1-beta (EF-1-beta) (Eukaryotic elongation factor 1Balpha) (eEF1Balpha) (Translation elongation factor 1B alpha)	P32471					
									
									
									
snR18	SNR18	C/D box small nucleolar RNA (snoRNA); commonly referred to as U18; guides 2'-O-methylation of large subunit (LSU) rRNA at positions A649 and C650							
									
YAL002W	VPS8	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif	Vacuolar protein sorting-associated protein 8 (Vacuolar protein-targeting protein 8)	P39702					
									
ARS108		Autonomously Replicating Sequence							
YAL001C	TFC3	Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)	Transcription factor tau 138 kDa subunit (TFIIIC 138 kDa subunit) (Transcription factor C subunit 3)	P34111					
									
									
									
CEN1	CEN1	Chromosome I centromere							
									
									
									
YAR002W	NUP60	FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153	Nucleoporin NUP60 (Nuclear pore protein NUP60)	P39705					
									
YAR002C-A	ERP1	Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control; forms heterotrimeric complex with Erp2p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog, ERP6, that arose from the whole genome duplication	Protein ERP1	Q05359					
									
YAR003W	SWD1	Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7	COMPASS component SWD1 (Complex proteins associated with SET1 protein SWD1) (Set1C component SWD1)	P39706			14		
									
YAR007C	RFA1	Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination; RPA protects against inappropriate telomere recombination, and upon telomere uncapping, prevents cell proliferation by a checkpoint-independent pathway; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia	Replication factor A protein 1 (RF-A protein 1) (DNA-binding protein BUF2) (Replication protein A 69 kDa DNA-binding subunit) (Single-stranded DNA-binding protein)	P22336			16		
									
YAR008W	SEN34	Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease (Sen complex) is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen complex also cleaves the CBP1 mRNA at the mitochondrial surface; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease	tRNA-splicing endonuclease subunit SEN34 (EC 4.6.1.16) (Splicing endonuclease of 34 kDa) (tRNA-intron endonuclease SEN34)	P39707			14		
									
ARS109	ARS101	ARS containing multiple redundant ORC binding sites; ORC is the acronym for origin recognition complex							
									
									
YARCdelta3		Ty1 LTR							
YARCdelta4		Ty1 LTR							
YAR009C		Retrotransposon TYA Gag and TYB Pol genes; Gag processing produces capsid proteins, Pol is cleaved to produce protease, reverse transcriptase and integrase activities; in YARCTy1-1 TYB is mutant and probably non-functional; protein product forms cytoplasmic foci upon DNA replication stress	Truncated transposon Ty1-A Gag-Pol polyprotein (TY1B) (Transposon Ty1 TYB polyprotein) [Cleaved into: Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	O13527					
									
YAR010C		Retrotransposon TYA Gag gene co-transcribed with TYB Pol; Gag processing produces capsid proteins; in YARCTy1-1 TYB is mutant and probably non-functional	Transposon Ty1-A Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	P0CX57					
									
YARCTy1-1		Ty1 element, LTR retrotransposon of the Copia (Pseudoviridae) group; contains genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats; mutated in S288C	Transposon Ty1-A Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	P0CX57					
YARCTy1-1		Ty1 element, LTR retrotransposon of the Copia (Pseudoviridae) group; contains genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats; mutated in S288C	Truncated transposon Ty1-A Gag-Pol polyprotein (TY1B) (Transposon Ty1 TYB polyprotein) [Cleaved into: Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	O13527					
YARCdelta5		Ty1 LTR							
