orf_id	gene_names	uniprot_acc	broad_gene_name	uniprot_gene_name	fungidb_gene_name	blast2go_annotation
CNAG_00017			hypothetical protein	Uncharacterized protein	hypothetical protein	FOXJ3_HUMAN|Forkhead box protein J3 OS=Homo sapiens OX=9606 GN=FOXJ3 PE=1 SV=2
CNAG_00018			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00019			mitochondrial import inner membrane translocase subunit TIM9	Mitochondrial import inner membrane translocase subunit TIM9	mitochondrial import inner membrane translocase subunit tim9	TIM9_CRYNB|Mitochondrial import inner membrane translocase subunit TIM9 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=TIM9 PE=3 SV=1
CNAG_00020			hypothetical protein	Uncharacterized protein	hypothetical protein	HID1_HUMAN|Protein HID1 OS=Homo sapiens OX=9606 GN=HID1 PE=1 SV=1
CNAG_00021			S-adenosylmethionine decarboxylase proenzyme	S-adenosylmethionine decarboxylase proenzyme	S-adenosylmethionine decarboxylase proenzyme	DCAM_SCHPO|S-adenosylmethionine decarboxylase proenzyme OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=spe2 PE=2 SV=1
CNAG_00022			cytochrome c heme-lyase	Cytochrome c heme lyase (EC 4.4.1.17)	cytochrome c heme-lyase	YE42_SCHPO|Putative cytochrome c1 heme lyase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC24C9.02c PE=3 SV=1
CNAG_00023			hypothetical protein	Uncharacterized protein	hypothetical protein	YHE8_SCHPOUP|F0643 protein PB2B2.08 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBPB2B2.08 PE=3 SV=1
CNAG_00024			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2	
CNAG_00025	VCX1		calcium/proton exchanger	Calcium/proton exchanger	vacuolar calcium exchanger	VCX1_YEAST|Vacuolar calcium ion transporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VCX1 PE=1 SV=1
CNAG_00026			kynurenine aminotransferase	Kynurenine aminotransferase	kynurenine aminotransferase, kynurenine aminotransferase, variant	YDT4_SCHPO|Uncharacterized aminotransferase C6B12.04c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC6B12.04c PE=3 SV=1
CNAG_00027			transcriptional activator	Transcriptional activator	transcriptional activator	
CNAG_00029			D-3-phosphoglycerate dehydrogenase	D-3-phosphoglycerate dehydrogenase	D-3-phosphoglycerate dehydrogenase	SERA_METJA|D-3-phosphoglycerate dehydrogenase OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=serA PE=3 SV=1
CNAG_00030			D-3-phosphoglycerate dehydrogenase	D-3-phosphoglycerate dehydrogenase	D-3-phosphoglycerate dehydrogenase, D-3-phosphoglycerate dehydrogenase, variant	
CNAG_00031	MLR1		hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	PPR1_YEAST|Pyrimidine pathway regulatory protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PPR1 PE=1 SV=1
CNAG_00032			2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	RHMA_SAL|G22-keto-3-deoxy-L-rhamnonate aldolase OS=Salmonella gallinarum (strain 287/91 / NCTC 13346) OX=550538 GN=rhmA PE=3 SV=1
CNAG_00033			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00034	RPL9B		large subunit ribosomal protein L9e	Large subunit ribosomal protein L9e	large subunit ribosomal protein L9e	RL9_ORYSJ60|S ribosomal protein L9 OS=Oryza sativa subsp. japonica OX=39947 GN=RPL9 PE=2 SV=3
CNAG_00035			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00036	SEC14-2		Sec14 cytosolic factor	Sec14 cytosolic factor	SEC14 cytosolic factor	SEC14_SCHPO|Sec14 cytosolic factor OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sec14 PE=4 SV=1
CNAG_00038			alcohol dehydrogenase	Alcohol dehydrogenase	Alcohol dehydrogenase	YGD6_SCHPO|Zinc-type alcohol dehydrogenase-like protein C1773.06c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC1773.06c PE=3 SV=1
CNAG_00039			hypothetical protein	Uncharacterized protein	hypothetical protein	YL8J_SCHPO|Zinc finger protein C25B8.19c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC25B8.19c PE=4 SV=2
CNAG_00040	ERG11		cytochrome P450, family 51 (sterol 14-demethylase)	Cytochrome P450, family 51 (Sterol 14-demethylase)	cytochrome P450, family 51 (sterol 14- demethylase)	CP51_USTMA|Lanosterol 14-alpha demethylase OS=Ustilago maydis (strain 521 / FGSC 9021) OX=237631 GN=ERG11 PE=3 SV=1
CNAG_00043			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	
CNAG_00044			ribosome assembly protein 1	Ribosome assembly protein 1	ribosome assembly protein 1	RIA1_SCHPO|Ribosome assembly protein 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ria1 PE=3 SV=1
CNAG_00045			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00046			26S proteasome regulatory subunit N8	26S proteasome regulatory subunit N8	26S proteasome regulatory subunit N8	RPN8_NEUCR26|S proteasome regulatory subunit rpn-8 OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=rpn-8 PE=3 SV=1
CNAG_00047	PKP1		pyruvate dehydrogenase kinase	Pyruvate dehydrogenase kinase	pyruvate dehydrogenase kinase	PDK_SCHP|O
CNAG_00048			sugar transporter	Sugar transporter	Sugar transporter	LACP_KLULA|Lactose permease OS=Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) OX=284590 GN=LAC12 PE=3 SV=1
CNAG_00049			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00050			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00051	SNT1		hypothetical protein	Uncharacterized protein	putative set3c deacetylase complex subunit	NCOR1_HUMAN|Nuclear receptor corepressor 1 OS=Homo sapiens OX=9606 GN=NCOR1 PE=1 SV=2
CNAG_00052			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00053			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00054			hypothetical protein	Uncharacterized protein	hypothetical protein	OBP2A_ARATH|Oil body-associated protein 2A OS=Arabidopsis thaliana OX=3702 GN=OBAP2A PE=2 SV=1
CNAG_00055			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00056			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00057			fructose-1,6-bisphosphatase I	Fructose-1,6-bisphosphatase I	fructose-1,6-bisphosphatase I	F16P2_SPIOL|Fructose-1,6-bisphosphatase, cytosolic OS=Spinacia oleracea OX=3562 PE=1 SV=2
CNAG_00058			T-complex protein 1 subunit epsilon	T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon)	T-complex protein 1 subunit epsilon	TCPE_SCHPO|T-complex protein 1 subunit epsilon OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=cct5 PE=3 SV=1
CNAG_00059			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00060			chaperone regulator	Chaperone regulator	chaperone regulator, chaperone regulator, variant	DNJA1_DICDI|DnaJ homolog subfamily A member 1 homolog OS=Dictyostelium discoideum OX=44689 GN=dnaja1 PE=3 SV=1
CNAG_00061	CIT1		citrate synthase, mitochondrial	Citrate synthase	citrate synthase, mitochondrial	CISY_ASPNG|Citrate synthase, mitochondrial OS=Aspergillus niger OX=5061 GN=cit-1 PE=2 SV=1
CNAG_00062			26S proteasome regulatory subunit N3	26S proteasome regulatory subunit N3	26S proteasome regulatory subunit N3	PSMD3_HUMAN26|S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2
CNAG_00063			histone H3	Histone H3	Histone H3	H32_BOVIN|Histone H3.2 OS=Bos taurus OX=9913 PE=1 SV=2
CNAG_00064			COPII-coated vesicle protein	COPII-coated vesicle protein	COPII-coated vesicle protein	EMP24_SCHPO|Endosomal protein P24B OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=emp24 PE=3 SV=1
CNAG_00065			ran-binding protein 1	Ran-binding protein 1	ran-binding protein 1	RANG_SCHPO|Ran-specific GTPase-activating protein 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sbp1 PE=1 SV=1
CNAG_00066			membrane protein	Membrane protein	membrane protein	
CNAG_00067	SSS1		protein translocase SEC61 complex gamma subunit	Protein translocase SEC61 complex gamma subunit	protein translocase SEC61 complex gamma subunit	SC61G_NEUCR|Probable protein transport protein Sec61 subunit gamma OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=9G6.310 PE=3 SV=2
CNAG_00068			specific RNA polymerase II transcription factor	Specific RNA polymerase II transcription factor	specific RNA polymerase II transcription factor	
CNAG_00069			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00070			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00072			protein disulfide-isomerase	Protein disulfide-isomerase	protein disulfide-isomerase	PDI22_ORYSJ|Protein disulfide isomerase-like 2-2 OS=Oryza sativa subsp. japonica OX=39947 GN=PDIL2-2 PE=2 SV=1
CNAG_00073			nuclear mRNA splicing protein	Nuclear mRNA splicing protein	nuclear mRNA splicing protein	STRN3_BOVIN|Striatin-3 OS=Bos taurus OX=9913 GN=STRN3 PE=2 SV=1
CNAG_00074			protein PNS1	Protein PNS1	protein PNS1	PNS1_CRYNB|Protein PNS1 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=PNS1 PE=3 SV=1
CNAG_00075			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00076			A/G-specific adenine glycosylase	Adenine DNA glycosylase (EC 3.2.2.31)	A/G-specific adenine glycosylase	MUTYH_RAT|Adenine DNA glycosylase OS=Rattus norvegicus OX=10116 GN=Mutyh PE=2 SV=1
CNAG_00077			solute carrier family 26 (sodium-independent sulfate anion transporter), member 11	Solute carrier family 26 (Sodium-independent sulfate anion transporter), member 11	solute carrier family 26 (sodium-independent sulfate anion transporter), member 11	SULH2_SCHPO|Probable sulfate permease C869.05c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC869.05c PE=1 SV=1
CNAG_00078			vacuolar protein	Vacuolar protein	vacuolar protein	YG35_YEAST|Uncharacterized vacuolar membrane protein YGR125W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YGR125W PE=1 SV=1
CNAG_00079			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00080			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00081			pre-mRNA-processing factor 6	Pre-mRNA-processing factor 6	pre-mRNA-processing factor 6	PRP1_SCHPO|Pre-mRNA-splicing factor prp1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=prp1 PE=1 SV=1
CNAG_00082	CFD1	J9VHX5	cytosolic Fe-S cluster assembly factor CFD1	Cytosolic Fe-S cluster assembly factor CFD1 (Cytosolic Fe-S cluster-deficient protein 1)	cytosolic Fe-S cluster assembly factor CFD1	CFD1_CRYNB|Cytosolic Fe-S cluster assembly factor CFD1 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=CFD1 PE=3 SV=1
CNAG_00083	CCC1		hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00084			glutamine-tRNA ligase	Glutamine-tRNA ligase	glutamine-tRNA ligase	SYQ_SCHPO|Probable glutamine--tRNA ligase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=qrs1 PE=3 SV=1
CNAG_00085			histone chaperone ASF1	Histone chaperone ASF1	histone chaperone ASF1	ASF1_CRYNB|Histone chaperone ASF1 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=ASF1 PE=3 SV=1
CNAG_00086			N2,N2-dimethylguanosine tRNA methyltransferase	N2,N2-dimethylguanosine tRNA methyltransferase	N2,N2-dimethylguanosine tRNA methyltransferase	TRM1_SCHP|OtRNA (guanine(26)-N(2))-dimethyltransferase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=trm1 PE=1 SV=1
CNAG_00087			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00088			prohibitin PHB1	Prohibitin PHB1	prohibitin PHB1	PHB1_SCHPO|Prohibitin-1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=phb1 PE=3 SV=1
CNAG_00089			exosome complex component RRP4	Exosome complex component RRP4	exosome complex component RRP4	RRP4_SCHPO|Exosome complex component rrp4 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rrp4 PE=3 SV=1
CNAG_00090			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	
CNAG_00091			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00092			mitochondrial protein	Mitochondrial pyruvate carrier	mitochondrial protein	MPC2_RAT|Mitochondrial pyruvate carrier 2 OS=Rattus norvegicus OX=10116 GN=Mpc2 PE=2 SV=1
CNAG_00093			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00094			NAD-dependent epimerase/dehydratase	NAD-dependent epimerase/dehydratase	NAD-dependent epimerase/dehydratase	DEND_HAEIN|D-erythronate dehydrogenase OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=denD PE=1 SV=1
CNAG_00095			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00096			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00097	ITR1		MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13	MFS transporter, SP family, solute carrier family 2 (Myo-inositol transporter), member 13	myo-inositol transporter, putative	ITR1_SCHPO|Myo-inositol transporter 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=itr1 PE=3 SV=1
CNAG_00098			palmitoyl-protein thioesterase	Palmitoyl-protein thioesterase	palmitoyl-protein thioesterase	PPT1_MACFA|Palmitoyl-protein thioesterase 1 OS=Macaca fascicularis OX=9541 GN=PPT1 PE=2 SV=1
CNAG_00099			minichromosome maintenance protein 3	DNA helicase (EC 3.6.4.12)	minichromosome maintenance protein 3	MCM3_SCHPODN|A replication licensing factor mcm3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=mcm3 PE=1 SV=2
CNAG_00100			stress-induced-phosphoprotein 1	Stress-induced-phosphoprotein 1	stress-induced-phosphoprotein 1	STI1_SCHPO|Heat shock protein sti1 homolog OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sti1 PE=3 SV=1
CNAG_00101			hypothetical protein	Uncharacterized protein	hypothetical protein	KEI1_SCHPO|Inositol phoshorylceramide synthase regulatory subunit kei1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=kei1 PE=3 SV=1
CNAG_00104			elongation factor 3	Elongation factor 3	elongation factor 3	ELF1_SCHP|OmRNA export factor elf1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=elf1 PE=1 SV=1
CNAG_00105			pyridoxal reductase	Pyridoxal reductase	pyridoxal reductase	YAKC_SCHPO|Aldo-keto reductase yakc
CNAG_00106	TCO5		two-component system sensor molecule	Two-component system sensor protein	Two-component-like sensor kinase	OHK5_ORYSJ|Probable histidine kinase 5 OS=Oryza sativa subsp. japonica OX=39947 GN=HK5 PE=2 SV=1
CNAG_00107			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00108			RuvB-like helicase 1	RuvB-like helicase (EC 3.6.4.12)	RuvB-like helicase 1	RUVB1_CRYNB|RuvB-like helicase 1 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=RVB1 PE=3 SV=1
CNAG_00110	HPI3		hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00111			splicing factor 3A subunit 1	Splicing factor 3A subunit 1	splicing factor 3A subunit 1	SF3A1_HUMAN|Splicing factor 3A subunit 1 OS=Homo sapiens OX=9606 GN=SF3A1 PE=1 SV=1
CNAG_00115			chlorophyll synthesis pathway protein BchC	Chlorophyll synthesis pathway protein BchC	chlorophyll synthesis pathway protein BchC	XYL2_ASPNC|Probable D-xylulose reductase A OS=Aspergillus niger (strain CBS 513.88 / FGSC A1513) OX=425011 GN=xdhA PE=3 SV=1
CNAG_00116			small subunit ribosomal protein S3	Small subunit ribosomal protein S3	small subunit ribosomal protein S3	RS3_SCHPO40|S ribosomal protein S3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rps3 PE=1 SV=1
CNAG_00117	ERG24		delta14-sterol reductase	Delta14-sterol reductase	c-14 sterol reductase	ERG24_SCHPO|Delta(14)-sterol reductase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=erg24 PE=2 SV=1
CNAG_00118			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00119			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00120			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00121			glycerol-3-phosphate dehydrogenase (NAD( ))	Glycerol-3-phosphate dehydrogenase [NAD(+)] (EC 1.1.1.8)	glycerol-3-phosphate dehydrogenase (NAD())	GPDA_TAKRU|Glycerol-3-phosphate dehydrogenase
CNAG_00122			alpha-amylase	Alpha-amylase	Alpha-amylase	AMY1_LIPKO|Alpha-amylase 1 OS=Lipomyces kononenkoae OX=34357 GN=LKA1 PE=1 SV=2
CNAG_00123			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00124	CAS32		hypothetical protein	Uncharacterized protein	Capsule structure designer protein	
CNAG_00125	CRG1		hypothetical protein	Uncharacterized protein	Putative regulator of G-protein signaling protein	FLBA_EMENI|Developmental regulator flbA OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=flbA PE=2 SV=1
CNAG_00126			2-deoxy-D-gluconate 3-dehydrogenase	2-deoxy-D-gluconate 3-dehydrogenase	2-deoxy-D-gluconate 3-dehydrogenase	KDUD_BACS|U2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase OS=Bacillus subtilis (strain 168) OX=224308 GN=kduD PE=2 SV=1
CNAG_00127			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00128			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00129			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00130	RCK2		CAMK/CAMK1/CAMK1-RCK protein kinase	CAMK/CAMK1/CAMK1-RCK protein kinase	CAMK/CAMK1/CAMK1-RCK protein kinase	SRK1_SCHPO|Serine/threonine-protein kinase srk1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=srk1 PE=1 SV=1
CNAG_00131			alcohol dehydrogenase	Alcohol dehydrogenase	Alcohol dehydrogenase	QORL2_RAT|Quinone oxidoreductase-like protein 2 OS=Rattus norvegicus OX=10116 PE=2 SV=1
CNAG_00132			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	
CNAG_00133			hypothetical protein	Uncharacterized protein	hypothetical protein	TCP4_MOUSE|Activated RNA polymerase II transcriptional coactivator p15 OS=Mus musculus OX=10090 GN=Sub1 PE=1 SV=3
CNAG_00134			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00135			cyclophilin	Cyclophilin	cyclophilin	RB47A_ARATH|Polyadenylate-binding protein RBP47A OS=Arabidopsis thaliana OX=3702 GN=RBP47A PE=2 SV=1
CNAG_00136			ubiquitin-activating enzyme E1	Ubiquitin-activating enzyme E1	ubiquitin-activating enzyme E1	UBA1_SCHPO|Ubiquitin-activating enzyme E1 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ptr3 PE=1 SV=1
CNAG_00137			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00138	COQ5	J9VKR4	ubiquinone biosynthesis methyltransferase	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial (EC 2.1.1.201) (Ubiquinone biosynthesis methyltransferase COQ5)	ubiquinone biosynthesis methyltransferase	COQ5_SCHP|O2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=coq5 PE=3 SV=1
CNAG_00139			hypothetical protein	Uncharacterized protein	hypothetical protein	GSTZ_EUPES|Glutathione S-transferase zeta class OS=Euphorbia esula OX=3993 PE=2 SV=1
CNAG_00140			U1 small nuclear ribonucleoprotein 70kDa	U1 small nuclear ribonucleoprotein 70kDa	U1 small nuclear ribonucleoprotein 70kDa	RU17_SCHPO|U1 small nuclear ribonucleoprotein 70 kDa homolog OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=usp101 PE=1 SV=1
CNAG_00141			monooxygenase	Monooxygenase	monooxygenase	TETX_BACFG|Tetracycline resistance protein from transposon Tn4351/Tn4400 OS=Bacteroides fragilis OX=817 GN=tetX PE=4 SV=1
CNAG_00142			hypothetical protein	Uncharacterized protein	hypothetical protein	ESF1_SCHPO|Pre-rRNA-processing protein esf1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=esf1 PE=1 SV=1
CNAG_00143			phosphoribosylaminoimidazolesuccinocarboxamide synthase	Phosphoribosylaminoimidazolesuccinocarboxamide synthase	phosphoribosylaminoimidazolesuccinocarboxamide synthase	PUR7_PICAN|Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Pichia angusta OX=870730 GN=ADE1 PE=3 SV=1
CNAG_00144			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	
CNAG_00145			actin-2	Actin-2	actin-2	ACTZ_PNECA|Actin-2 OS=Pneumocystis carinii OX=4754 PE=2 SV=1
CNAG_00146			5'/3'-nucleotidase SurE	5'/3'-nucleotidase SurE	5'/3'-nucleotidase SurE	TTL_YEAST|Probable tubulin--tyrosine ligase PBY1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PBY1 PE=1 SV=2
CNAG_00147			pre-mRNA-processing-splicing factor 8	Pre-mRNA-processing-splicing factor 8	pre-mRNA-processing-splicing factor 8	PRP8_HUMAN|Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2
CNAG_00148			hypothetical protein	Protein transport protein sec16	hypothetical protein	SEC16_PHANOCOPI|I coat assembly protein SEC16 OS=Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) OX=321614 GN=SEC16 PE=3 SV=2
CNAG_00149			NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 4	NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex 4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 4	
CNAG_00150			peptidase	Peptidase	peptidase	SUBT_BACAM|Subtilisin BPN' OS=Bacillus amyloliquefaciens OX=1390 GN=apr PE=1 SV=1
CNAG_00151			transcription elongation regulator 1	Transcription elongation regulator 1	transcription elongation regulator 1	TCRG1_HUMAN|Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1 PE=1 SV=2
CNAG_00152			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00153			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	
CNAG_00154			oxidoreductase	Oxidoreductase	oxidoreductase	OYEC_SCHPO|Putative NADPH dehydrogenase C23G7.10c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC23G7.10c PE=3 SV=1
CNAG_00155			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00156	SP1		hypothetical protein	Uncharacterized protein	Putative zinc finger transcription factor	CRZ2_CANAL|Transcriptional regulator CRZ2 OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=CRZ2 PE=2 SV=2
CNAG_00157			hypothetical protein	Uncharacterized protein	hypothetical protein	
